variable,n_obs,outliers_IQR,outliers_zscore
CARTERAS DE CRÉDITOS REESTRUCTURADAS,42,11,1
CARTERAS DE CRÉDITOS REFINANCIADAS,42,9,0
CARTERA IMPRODUCTIVA DESCUBIERTA / (PATRIMONIO + RESULTADOS),42,8,1
COBERTURA DE LA CARTERA PROBLEMÁTICA,42,7,2
COBERTURA DE LA CARTERA DE CREDITO CONSUMO,42,6,0
ACTIVOS IMPRODUCTIVOS NETOS / TOTAL ACTIVOS,42,6,0
ACTIVOS PRODUCTIVOS / TOTAL ACTIVOS,42,6,0
FI = 1 + (ACTIVOS IMPRODUCTIVOS / ACTIVOS TOTALES),42,6,0
( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,42,6,1
COBERTURA DE LA CARTERA DE MICROCREDITO,42,6,1
COBERTURA DE LA CARTERA DE CREDITO INMOBILIARIO,42,5,2
RENDIMIENTO DE LA CARTERA DE CREDITO INMOBILIARIO POR VENCER,42,5,1
COBERTURA DE LA CARTERA DE CREDITO PRODUCTIVO,42,4,1
RENDIMIENTO DE LA CARTERA DE MICROCREDITO POR VENCER,42,4,1
RENDIMIENTO DE LA CARTERA DE CREDITO CONSUMO,42,4,1
MOROSIDAD DE LA CARTERA DE MICROCREDITO,42,3,0
MARGEN DE INTERMEDIACIÓN ESTIMADO / ACTIVO PROMEDIO,42,3,1
MOROSIDAD DE LA CARTERA DE CREDITO INMOBILIARIO,42,3,1
MOROSIDAD DE LA CARTERA DE CREDITO PRODUCTIVO,42,3,1
CARTERA BRUTA / (DEPOSITOS A LA VISTA + DEPOSITOS A PLAZO),42,3,1
RENDIMIENTO DE LA CARTERA DE CREDITO EDUCATIVO POR VENCER,42,2,2
RENDIMIENTO DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO POR VENCER,42,2,2
MOROSIDAD DE LA CARTERA TOTAL,42,2,0
RESULTADOS DEL EJERCICIO / ACTIVO PROMEDIO,42,2,0
FK = (PATRIMONIO + RESULTADOS - INGRESOS EXTRAORDINARIOS) / ACTIVOS TOTALES,42,1,1
CARTERA POR VENCER TOTAL,42,1,1
FONDOS DISPONIBLES / TOTAL DEPOSITOS A CORTO PLAZO,42,1,0
CARTERA IMPRODUCTIVA / PATRIMONIO (DIC),42,1,0
GASTOS DE PERSONAL ESTIMADOS / ACTIVO PROMEDIO,42,1,1
INDICE DE CAPITALIZACION NETO: FK / FI,42,1,1
MARGEN DE INTERMEDIACIÓN ESTIMADO / PATRIMONIO PROMEDIO,42,1,1
GASTOS DE OPERACION / MARGEN FINANCIERO,42,1,0
COBERTURA DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO,42,1,1
MOROSIDAD DE LA CARTERA DE CREDITO EDUCATIVO,42,1,1
MOROSIDAD DE LA CARTERA DE VIVIENDA DE INTERES SOCIAL Y PUBLICO,42,1,1
MOROSIDAD DE LA CARTERA DE CONSUMO,42,1,0
ACTIVOS PRODUCTIVOS / PASIVOS CON COSTO,42,1,0
RENDIMIENTO DE LA CARTERA DE CREDITO PRODUCTIVO POR VENCER,42,0,0
RESULTADOS DEL EJERCICIO / PATRIMONIO PROMEDIO,42,0,0
GASTOS DE OPERACION ESTIMADOS / TOTAL ACTIVO PROMEDIO,42,0,0
RANKING,42,0,0
